,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
0,81145628,Movie,Norm of the North: King Sized Adventure,"Richard Finn, Tim Maltby","Alan Marriott, Andrew Toth, Brian Dobson, Cole Howard, Jennifer Cameron, Jonathan Holmes, Lee Tockar, Lisa Durupt, Maya Kay, Michael Dobson","United States, India, South Korea, China","September 9, 2019",2019,TV-PG,90 min,"Children & Family Movies, Comedies","Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first."
1,80117401,Movie,Jandino: Whatever it Takes,,Jandino Asporaat,United Kingdom,"September 9, 2016",2016,TV-MA,94 min,Stand-Up Comedy,"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show."
4,80125979,Movie,#realityhigh,Fernando Lebrija,"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis",United States,"September 8, 2017",2017,TV-14,99 min,Comedies,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity."
6,70304989,Movie,Automata,Gabe Ibáñez,"Antonio Banderas, Dylan McDermott, Melanie Griffith, Birgitte Hjort Sørensen, Robert Forster, Christa Campbell, Tim McInnerny, Andy Nyman, David Ryall","Bulgaria, United States, Spain, Canada","September 8, 2017",2014,R,110 min,"International Movies, Sci-Fi & Fantasy, Thrillers","In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy."
7,80164077,Movie,Fabrizio Copano: Solo pienso en mi,"Rodrigo Toro, Francisco Schultz",Fabrizio Copano,Chile,"September 8, 2017",2017,TV-MA,60 min,Stand-Up Comedy,"Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more."
9,70304990,Movie,Good People,Henrik Ruben Genz,"James Franco, Kate Hudson, Tom Wilkinson, Omar Sy, Sam Spruell, Anna Friel, Thomas Arnold, Oliver Dimsdale, Diana Hardcastle, Michael Jibson, Diarmaid Murtagh","United States, United Kingdom, Denmark, Sweden","September 8, 2017",2014,R,90 min,"Action & Adventure, Thrillers",A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.
10,80169755,Movie,Joaquín Reyes: Una y no más,José Miguel Contreras,Joaquín Reyes,,"September 8, 2017",2017,TV-MA,78 min,Stand-Up Comedy,"Comedian and celebrity impersonator Joaquín Reyes decides to be his zesty self for a night of stories about buses, bathroom habits, royalty and more."
11,70299204,Movie,Kidnapping Mr. Heineken,Daniel Alfredson,"Jim Sturgess, Sam Worthington, Ryan Kwanten, Anthony Hopkins, Mark van Eeuwen, Thomas Cocquerel, Jemima West, David Dencik","Netherlands, Belgium, United Kingdom, United States","September 8, 2017",2015,R,95 min,"Action & Adventure, Dramas, International Movies","When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history."
12,80182480,Movie,Krish Trish and Baltiboy,,"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",,"September 8, 2017",2009,TV-Y7,58 min,Children & Family Movies,"A team of minstrels, including a monkey, cat and donkey, narrate folktales from the Indian regions of Rajasthan, Kerala and Punjab."
13,80182483,Movie,Krish Trish and Baltiboy: Battle of Wits,"Munjal Shroff, Tilak Shetty","Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal, Deepak Chachra",,"September 8, 2017",2013,TV-Y7,62 min,Children & Family Movies,"An artisan is cheated of his payment, a lion of his throne and a brother of his inheritance in these three stories of deception and justice."
14,80182596,Movie,Krish Trish and Baltiboy: Best Friends Forever,"Munjal Shroff, Tilak Shetty","Damandeep Singh Baggan, Smita Malhotra, Deepak Chachra",,"September 8, 2017",2016,TV-Y,65 min,Children & Family Movies,"A cat, monkey and donkey team up to narrate folktales about friendship from Northeast India, and the Indian regions of Bihar and Rajasthan."
15,80182482,Movie,Krish Trish and Baltiboy: Comics of India,Tilak Shetty,"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",,"September 8, 2017",2012,TV-Y7,61 min,Children & Family Movies,"In three comic-strip-style tales, a boy tries to sell wisdom, a demon is released from captivity, and a king assigns impossible tasks to his minister."
16,80182597,Movie,Krish Trish and Baltiboy: Oversmartness Never Pays,Tilak Shetty,"Rishi Gambhir, Smita Malhotra, Deepak Chachra",,"September 8, 2017",2017,TV-Y7,65 min,Children & Family Movies,"A cat, monkey and donkey learn the consequences of cheating through stories from the Indian regions of Rajasthan, West Bengal and Maharashtra."
17,80182481,Movie,Krish Trish and Baltiboy: Part II,,"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",,"September 8, 2017",2010,TV-Y7,58 min,Children & Family Movies,"Animal minstrels narrate stories about a monkey's friendship with a crocodile, two monkeys' foolishness and a villager's encounter with a demon."
18,80182621,Movie,Krish Trish and Baltiboy: The Greatest Trick,"Munjal Shroff, Tilak Shetty","Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",,"September 8, 2017",2013,TV-Y7,60 min,Children & Family Movies,"The consequences of trickery are explored in stories involving an inconsiderate husband, two greedy courtiers, and a kind man who loses everything."
19,80057969,Movie,Love,Gaspar Noé,"Karl Glusman, Klara Kristin, Aomi Muyock, Ugo Fox, Juan Saavedra, Gaspar Noé, Isabelle Nicou, Benoît Debie, Vincent Maraval, Déborah Révy","France, Belgium","September 8, 2017",2015,NR,135 min,"Cult Movies, Dramas, Independent Movies",A man in an unsatisfying marriage recalls the details of an intense past relationship with an ex-girlfriend when he gets word that she may be missing.
20,80060297,Movie,Manhattan Romance,Tom O'Brien,"Tom O'Brien, Katherine Waterston, Caitlin Fitzgerald, Gaby Hoffmann, Louis Cancelmi, Zach Grenier",United States,"September 8, 2017",2014,TV-14,98 min,"Comedies, Independent Movies, Romantic Movies",A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.
21,80046728,Movie,Moonwalkers,Antoine Bardou-Jacquet,"Ron Perlman, Rupert Grint, Robert Sheehan, Stephen Campbell Moore, Eric Lampaert, Kevin Bishop, Tom Audenaert, Erika Sainte","France, Belgium","September 8, 2017",2015,R,96 min,"Action & Adventure, Comedies, International Movies","A brain-addled war vet, a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing."
22,80046727,Movie,Rolling Papers,Mitch Dickman,,"United States, Uruguay","September 8, 2017",2015,TV-MA,79 min,Documentaries,"As the newspaper industry takes a hit, The Denver Post breaks new ground with a section dedicated to cannabis culture."
23,70304988,Movie,Stonehearst Asylum,Brad Anderson,"Kate Beckinsale, Jim Sturgess, David Thewlis, Brendan Gleeson, Ben Kingsley, Michael Caine, Jason Flemyng, Sophie Kennedy Clark, Sinéad Cusack, Edmund Kingsley",United States,"September 8, 2017",2014,PG-13,113 min,"Horror Movies, Thrillers","In 1899, a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient."
24,80057700,Movie,The Runner,Austin Stark,"Nicolas Cage, Sarah Paulson, Connie Nielsen, Wendell Pierce, Bryan Batt, Peter Fonda, Dana Gourrier",United States,"September 8, 2017",2015,R,90 min,"Dramas, Independent Movies",A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.
25,80045922,Movie,6 Years,Hannah Fidell,"Taissa Farmiga, Ben Rosenfield, Lindsay Burdge, Joshua Leonard, Jennifer Lafleur, Peter Vack, Dana Wheeler-Nicholson, Jason Newman, Molly McMichael",United States,"September 8, 2015",2015,NR,80 min,"Dramas, Independent Movies, Romantic Movies","As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future."
27,80203094,Movie,City of Joy,Madeleine Gavin,,"United States,","September 7, 2018",2018,TV-MA,77 min,Documentaries,"Women who've been sexually brutalized in war-torn Congo begin to heal at City of Joy, a center that helps them regain a sense of self and empowerment."
29,70241607,Movie,Laddaland,Sopon Sukdapisit,"Saharat Sangkapreecha, Pok Piyatida Woramusik, Sutatta Udomsilp, Athipich Chutiwatkajornchai, Deuntem Salitul, Sahajak Boonthanakit",Thailand,"September 7, 2018",2011,TV-MA,112 min,"Horror Movies, International Movies","When a family moves into an upscale housing development, they encounter a series of paranormal events that drive them to the edge of insanity."
30,80988892,Movie,Next Gen,"Kevin R. Adams, Joe Ksander","John Krasinski, Charlyne Yi, Jason Sudeikis, Michael Peña, David Cross, Constance Wu","China, Canada, United States","September 7, 2018",2018,TV-PG,106 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy","When lonely Mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain."
31,80239639,Movie,Sierra Burgess Is A Loser,Ian Samuels,"Shannon Purser, Kristine Froseth, RJ Cyler, Noah Centineo, Loretta Devine, Giorgia Whigham, Alice Lee, Lea Thompson, Alan Ruck, Mary Pat Gleason, Chrissy Metz",United States,"September 7, 2018",2018,PG-13,106 min,"Comedies, Romantic Movies",A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.
32,80159586,Movie,The Most Assassinated Woman in the World,Franck Ribière,"Anna Mouglalis, Niels Schneider, André Wilms, Michel Fau, Sissi Duparc, Jean-Michel Balthazar, Julie Recoing, Eric Godon, Maya Coline, Constance Dollé","Belgium, United Kingdom, United States","September 7, 2018",2018,TV-MA,102 min,"Dramas, International Movies, Thrillers","In 1930s Paris, an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past."
33,80152447,Movie,Cézanne et moi,Daniele Thompson,"Guillaume Canet, Guillaume Gallienne, Alice Pol, Déborah François, Sabine Azéma, Freya Mavor, Isabelle Candelier, Laurent Stocker","Belgium, France","September 7, 2017",2016,R,114 min,"Dramas, Independent Movies, International Movies","This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola, who first met as schoolboys."
35,81154455,Movie,Article 15,Anubhav Sinha,"Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra, Isha Talwar, Sayani Gupta, Mohammed Zeeshan Ayyub, Subhrajyoti Barat, Sushil Pandey, Aakash Dabhade",India,"September 6, 2019",2019,TV-MA,125 min,"Dramas, International Movies, Thrillers",The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.
36,81113928,Movie,Care of Kancharapalem,Maha Venkatesh,"Subba Rao Vepada, Radha Bessy, Kesava Karri, Nithyasri Goru, Karthik Rathnam, Praneetha Patnaik, Mohan Bhagath, Praveena Paruchuri",,"September 6, 2019",2018,TV-14,142 min,"Comedies, Dramas, Independent Movies","From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town."
37,81052275,Movie,Ee Nagaraniki Emaindi,Tharun Bhascker,"Vishwaksen Naidu, Sushanth Reddy, Abhinav Gomatam, Venkatesh Kakumanu, Anisha Ambrose, Simran Choudhary",India,"September 6, 2019",2018,TV-14,133 min,"Comedies, International Movies","In Goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true."
38,81132437,Movie,Kill Me If You Dare,Şenol Sönmez,"Murat Boz, Seda Bakan, Açelya Topaloğlu, Özgür Emre Yıldırım, Seda Güven, Yosi Mizrahi, Dilşad Şimşek, Ali Yoğurtçuoğlu",,"September 6, 2019",2019,TV-14,100 min,"Comedies, International Movies, Romantic Movies","Bogged down with money problems, a couple grows cautious of each other but hit the lottery and decide to stay together – till death do they part."
40,80058026,Movie,Hell and Back,"Tom Gianas, Ross R. Shuman","Nick Swardson, Mila Kunis, Bob Odenkirk, T.J. Miller, Rob Riggle, Susan Sarandon, Danny McBride, Jennifer Coolidge, John Farley, Maria Bamford",United States,"September 6, 2018",2015,R,86 min,"Action & Adventure, Comedies, Independent Movies","When best friends break a blood oath, one of them is cast away to hell, and the other two must save him from the misfits of the underworld."
41,70303496,Movie,PK,Rajkumar Hirani,"Aamir Khan, Anuskha Sharma, Sanjay Dutt, Saurabh Shukla, Parikshat Sahni, Sushant Singh Rajput, Boman Irani, Rukhsar",India,"September 6, 2018",2014,TV-14,146 min,"Comedies, Dramas, International Movies",Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.
42,80162141,Movie,Hard Tide,"Robert Osman, Nathanael Wiseman","Nathanael Wiseman, Mem Ferda, Alexandra Newick, Oliver Stark, Kat Gellin, Andy Lucas, Ralph Brown, Beverly Hills",United Kingdom,"September 6, 2017",2015,TV-MA,79 min,"Dramas, Independent Movies",A drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller.
43,80095641,Movie,Elstree 1976,Jon Spira,"Paul Blake, Jeremy Bulloch, John Chapman, Anthony Forrest, Laurie Goode, Garrick Hagon, Derek Lyons, Angus MacInnes, David Prowse, Pam Rose",United Kingdom,"September 6, 2016",2015,TV-PG,102 min,Documentaries,"Then and now footage of bit players who appeared in ""Star Wars"" tells the story of how the film and its legions of fans changed their lives forever."
44,81176188,Movie,American Factory: A Conversation with the Obamas,,"President Barack Obama, Michelle Obama, Julia Reichert, Steven Bognar",,"September 5, 2019",2019,TV-G,10 min,Documentaries,Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.
45,80159880,Movie,ATM,Mez Tharatorn,"Chantavit Dhanasevi, Preechaya Pongthananikorn, Chaleumpol Tikumpornteerawong, Thawat Pornrattanaprasert, Sananthachat Thanapatpisal, Pongkool Suebsung, Puttachat Pongsuchat, Gornpop Janjaroen, Yanee Tramoth, Pongsatorn Jongwilak","United States, Canada","September 5, 2018",2012,TV-14,122 min,"Comedies, International Movies, Romantic Movies","When a broken ATM dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job."
46,81016044,Movie,Bangkok Traffic (Love) Story,Adisorn Tresirikasem,"Theeradej Wongpuapan, Sirin Horwang, Ungsumalynn Sirapatsakmetha, Panissara Phimpru, Taksaorn Paksukcharern, Charlie Trairat, Kazuki Yano",Thailand,"September 5, 2018",2009,TV-14,126 min,"Comedies, International Movies, Romantic Movies","After an encounter with an engineer working the night shift for the city train, a 30-year-old woman struggles against all odds to pursue true love."
47,80158838,Movie,I Fine... Thank You... Love You,Mez Tharatorn,"Preechaya Pongthananikorn, Sunny Suwanmethanont, Sora Aoi, Puttachat Pongsuchat, Popetorn Soonthornyanakij",Thailand,"September 5, 2018",2014,TV-14,116 min,"Comedies, International Movies, Romantic Movies","Desperate to go to the U.S. to win back his girlfriend, Yim hires a tutor to teach him English. But things don't go according to plan."
48,81016045,Movie,One Day,Banjong Pisanthanakun,"Chantavit Dhanasevi, Nittha Jirayungyurn, Theerapat Sajakul, Prim Bulakul, Kris Srepoomseth, Somyos Matures, Sutthatip Wutichaipradit, Rermthon Kemapech, Kaz Sawamura",Thailand,"September 5, 2018",2016,TV-PG,135 min,"Dramas, International Movies, Romantic Movies","When his colleague (and crush) temporarily loses her memory, an overlooked geek seizes the chance to make an impression before she remembers again."
49,70142798,Movie,Phobia 2,"Banjong Pisanthanakun, Paween Purikitpanya, Songyos Sugmakanan, Parkpoom Wongpoom, Visute Poolvoralaks","Jirayu La-ongmanee, Charlie Trairat, Worrawech Danuwong, Marsha Wattanapanich, Nicole Theriault, Chumphorn Thepphithak, Gacha Plienwithi, Suteerush Channukool, Peeratchai Roompol, Nattapong Chartpong",Thailand,"September 5, 2018",2009,TV-MA,125 min,"Horror Movies, International Movies","From disfiguring punishments to festering souls, Thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology."
50,70062814,Movie,Shutter,"Banjong Pisanthanakun, Parkpoom Wongpoom","Ananda Everingham, Natthaweeranuch Thongmee, Achita Sikamana, Unnop Chanpaibool, Titikarn Tongprasearth, Sivagorn Muttamara, Chachchaya Chalemphol, Kachormsak Naruepatr",Thailand,"September 5, 2018",2004,TV-MA,96 min,"Horror Movies, International Movies","After killing a young girl in a hit-and-run accident, a couple is haunted by more than just the memory of their deadly choice."
51,80158839,Movie,Suckseed,Chayanop Boonprakob,"Jirayu La-ongmanee, Pachara Chirathivat, Nattasha Nauljam, Thawat Pornrattanaprasert",Thailand,"September 5, 2018",2011,TV-MA,130 min,"Comedies, International Movies","When his boyhood crush Ern returns, Ped forms a band with his friend to impress her. Romantic rivalries bloom after the talented Ern joins the group."
52,80147760,Movie,Carrie Pilby,Susan Johnson,"Bel Powley, Nathan Lane, Vanessa Bayer, Gabriel Byrne, Jason Ritter, Colin O'Donoghue, William Moseley, Desmin Borges",United States,"September 5, 2017",2016,TV-14,98 min,"Comedies, Dramas","A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and – maybe – even go on a date."
53,80177405,Movie,Marc Maron: Too Real,Lynn Shelton,Marc Maron,United States,"September 5, 2017",2017,TV-MA,70 min,Stand-Up Comedy,"Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world."
55,81160036,Movie,Saawan,Farhan Alam,"Karam Hussain, Arif Bahlim, Najiba Faiz, Saleem Mairaj, Imran Aslam, Daniyal Yousuf, Sohail Malik, Ali Hafiz",Pakistan,"September 4, 2019",2016,TV-14,128 min,"Dramas, Independent Movies, International Movies","Outcast from society and left to die in the wilderness, a young boy with polio embarks on a journey to connect with his mother. Based on a true story."
56,81173255,Movie,The Heretics,Chad Archibald,"Nina Kiri, Ry Barrett, Jorja Cadence, Will King, Nina Richmond",Canada,"September 4, 2019",2017,TV-MA,88 min,Horror Movies,A withdrawn young woman hunted by a malicious cult is abducted by a brooding stranger and undergoes a bizarre transformation.
57,81078908,Movie,The World We Make,Brian Baugh,"Caleb Castille, Rose Reid, Kevin Sizemore, Gregory Alan Williams",United States,"September 4, 2019",2019,PG,108 min,"Dramas, Romantic Movies","A teenage equestrian and a local football player for each other, but simmering racism in their small town puts their relationship to the test."
58,81155784,Movie,Watchman,A. L. Vijay,"G.V. Prakash Kumar, Samyuktha Hegde, Suman, Raj Arjun, Yogi Babu, Munishkanth",India,"September 4, 2019",2019,TV-14,93 min,"Comedies, Dramas, International Movies","Rushing to pay off a loan shark, a young man breaks into a bungalow to steal the cash, unprepared for the dog standing guard – or the trouble inside."
59,80201906,Movie,Black Panther,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Angela Bassett, Forest Whitaker, Andy Serkis, Florence Kasumba, John Kani, David S. Lee, Stan Lee",United States,"September 4, 2018",2018,PG-13,135 min,"Action & Adventure, Sci-Fi & Fantasy","T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new."
60,80052612,Movie,Man Up,Ben Palmer,"Lake Bell, Simon Pegg, Ophelia Lovibond, Olivia Williams, Rory Kinnear, Henry Lloyd-Hughes, Ken Stott, Sharon Horgan, Harriet Walter, Stephen Campbell Moore, Dean-Charles Chapman, Phoebe Waller-Bridge","United Kingdom, France","September 4, 2018",2015,R,88 min,"Comedies, International Movies, Romantic Movies","A single woman seizes an opportunity when, while standing under a train station clock, she meets a stranger who mistakes her for his blind date."
62,81054495,Movie,Mo Gilligan: Momentum,Chris Howe,Mo Gilligan,United Kingdom,"September 30, 2019",2019,TV-MA,64 min,Stand-Up Comedy,"Comedian Mo Gilligan blends smooth moves and sharp humor as he riffs on humble beginnings, family dynamics and the complex art of dancing in the club."
65,70212504,Movie,Big Miracle,Ken Kwapis,"Drew Barrymore, John Krasinski, Kristen Bell, Dermot Mulroney, Tim Blake Nelson, Vinessa Shaw, Ted Danson, Stephen Root, Rob Riggle, Michael Gaston","United States, United Kingdom","September 30, 2018",2012,PG,107 min,"Children & Family Movies, Dramas","After a reporter writes about whales trapped in the Arctic Circle, the U.S. and U.S.S.R. team up to rescue them in this tale inspired by true events."
71,80187061,Movie,The Mayor,Park In-je,"Min-sik Choi, Do-won Kwak, Eun-kyung Shim, So-ri Moon, Mi-ran Ra, Hye-young Ryu, Ki Hong Lee, Sun-gyu Jin, Joo-yeon Lee, Byeong-eun Park",South Korea,"September 30, 2017",2017,TV-MA,130 min,"Dramas, International Movies","With the presidency in mind, the incumbent mayor of Seoul runs for an unprecedented third term – and will stop at nothing to keep his secrets hidden."
73,80081155,Movie,Amanda Knox,"Rod Blackhurst, Brian McGinn",,"Denmark, United States","September 30, 2016",2016,TV-MA,92 min,Documentaries,She was twice convicted and acquitted of murder. Amanda Knox and the people closest to her case speak out in this illuminating documentary.
75,80198585,Movie,The Debt Collector,Jesse V. Johnson,"Scott Adkins, Louis Mandylor, Vladimir Kulich, Michael Paré, Rachel Brann, Selina Lo, Tony Todd","United Kingdom, United States","September 3, 2018",2018,TV-MA,96 min,Action & Adventure,"A broke martial arts instructor takes a side gig with a mobster, who pairs him with a veteran thug for a weekend of fisticuffs-fueled debt collection."
76,70233894,Movie,Act of Vengeance,Mahsun Kırmızıgül,"Haluk Bilginer, Mahsun Kırmızıgül, Mustafa Sandal, Gina Gershon, Robert Patrick, Danny Glover, Engin Altan Düzyatan, Scott William Winters, Sharrieff Pugh","Turkey, United States","September 29, 2018",2010,NR,112 min,"Action & Adventure, International Movies","Two Turkish agents are sent to New York City on a mission to capture a notorious terrorist known only as ""Dejjal"" (Arabic for Antichrist)."
77,81011955,Movie,Paradise Lost,Monique Gardenberg,"Júlio Andrade, Lee Taylor, Hermila Guedes, Julia Konrad, Erasmo Carlos, Marjorie Estiano, Seu Jorge, Jaloo, Felipe Abib, Humberto Carrão, Malu Galli",Brazil,"September 29, 2018",2018,TV-MA,111 min,"Dramas, Independent Movies, International Movies","A cop moonlights as the bodyguard for a young drag queen at a nightclub, and grows closer to the family of misfit singers that perform there."
78,80128722,Movie,Gerald's Game,Mike Flanagan,"Carla Gugino, Bruce Greenwood, Henry Thomas, Carel Struycken, Chiara Aurelia",United States,"September 29, 2017",2017,TV-MA,103 min,"Horror Movies, Thrillers","When her husband's sex game goes wrong, Jessie – handcuffed to a bed in a remote lake house – faces warped visions, dark secrets and a dire choice."
79,80182115,Movie,Long Shot,Jacob LaMendola,,United States,"September 29, 2017",2017,TV-14,40 min,Documentaries,"When Juan Catalan is arrested for a murder he didn't commit, he builds his case for innocence around raw footage from a popular TV show. A documentary."
81,80104068,Movie,Our Souls at Night,Ritesh Batra,"Robert Redford, Jane Fonda, Bruce Dern, Matthias Schoenaerts, Iain Armitage, Judy Greer, Phyllis Somerville",United States,"September 29, 2017",2017,TV-14,103 min,"Dramas, Romantic Movies","After widowed neighbors Addie and Louis begin sleeping in bed together platonically to alleviate their loneliness, a real romance begins to blossom."
82,80119349,Movie,Out of Thin Air,Dylan Howitt,,,"September 29, 2017",2017,TV-14,85 min,"Documentaries, International Movies","Picking up 40 years after six were convicted for two strange murders in Iceland, this chilling documentary proves confessions can’t always be trusted."
85,80019931,Movie,"Monster High: Boo York, Boo York",William Lau,"Karen Strassman, Celeste Henderson, Wendee Lee, TJ Smith, America Young, Rachel Staman, Laura Bailey",United States,"September 29, 2015",2015,TV-Y7,72 min,"Children & Family Movies, Music & Musicals",Cleo is invited to a gala in the big city celebrating a magical comet and brings her best friends along. But the sinister Nefera has other plans.
86,81053893,Movie,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,Mana Yasuda,,,"September 28, 2019",2019,TV-G,45 min,"Documentaries, International Movies",An in-depth look at the full-cycle breeding program for bluefin Kindai tuna pioneered by Kinki University’s Aqua Culture Research Institute.
87,80200087,Movie,Domino,Brian De Palma,"Nikolaj Coster-Waldau, Carice van Houten, Eriq Ebouaney, Guy Pearce, Mohammed Azaay, Søren Malling, Paprika Steen, Helena Kaittani","Denmark, France, Italy, Belgium, Netherlands","September 28, 2019",2019,R,89 min,"International Movies, Thrillers","A Copenhagen police officer hunts for the man who attacked his partner, only to stumble into a high-stakes game of espionage."
88,81053892,Movie,TUNA GIRL,Mana Yasuda,"Fuka Koshiba, Tom Fujita, Hidetoshi Hoshida, Hiroto Kanai, Ryosuke Yusa, Shuri Tanaka, Chal Inoue, Takashi Taniguchi, Takeshi Masu",,"September 28, 2019",2019,TV-PG,90 min,"Dramas, International Movies",A clumsy but cheerful fisheries student struggles to find her place at a research institute renowned for its tuna cultivation. The work isn't easy.
89,81002850,Movie,5CM,Rizal Mantovani,"Herjunot Ali, Raline Shah, Fedi Nuril, Pevita Pearce, Saykoji, Denny Sumargo, Didi Petet, Firrina Sinatrya",Indonesia,"September 28, 2018",2012,TV-14,126 min,"Dramas, International Movies","Five friends embark on a mission to climb the highest peak in Java, overcoming obstacles on the way and discovering the true meaning of friendship."
90,81004470,Movie,Animal World,Han Yan,"Li Yi Feng, Zhou Dongyu, Michael Douglas, Bingkun Cao, Ge Wang, Keanu Chi, Zhang Jungyi, Yijuan Li, Su Ke",China,"September 28, 2018",2018,TV-MA,130 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy","An unlucky, debt-ridden teen resorts to his math skills when he's forced into a deadly tournament of rock-paper-scissors run by a diabolical host."
91,80157072,Movie,Hold the Dark,Jeremy Saulnier,"Jeffrey Wright, Alexander Skarsgård, James Badge Dale, Riley Keough, Julian Black Antelope, Tantoo Cardinal, Macon Blair, Jonathan Whitesell, Peter McRobbie",United States,"September 28, 2018",2018,TV-MA,126 min,"Action & Adventure, Dramas","In the grim Alaskan winter, a naturalist hunts for wolves blamed for killing a local boy, but he soon finds himself swept into a chilling mystery."
92,81001809,Movie,Lessons from a School Shooting: Notes from Dunblane,Kim A. Snyder,,United States,"September 28, 2018",2018,TV-PG,24 min,Documentaries,"Two priests – one from Dunblane, Scotland, the other from Newtown, Connecticut – bond over school tragedies that occurred 16 years apart."
94,81002864,Movie,Single,Raditya Dika,"Raditya Dika, Annisa Rawles, Chandra Liow, Pandji Pragiwaksono, Babe Cabita, Elvira Devinamira, Tinna Harahap, Pevita Pearce, Rinna Hassim, Dede Yusuf, Dewi Hughes",Indonesia,"September 28, 2018",2015,TV-PG,127 min,"Comedies, International Movies, Romantic Movies","Unemployed and immature, a somewhat pathetic bachelor sets his sights on finding a date for the wedding of his younger, more successful brother."
95,81016750,Movie,The 3rd Eye,Rocky Soraya,"Jessica Mila, Denny Sumargo, Citra Prima, Bianca Hello, Epy Kusnandar, Anita Hara, Derry Drajat, Voke Victoria, Shofia Shireen, Afdhal Yusman",Indonesia,"September 28, 2018",2018,TV-MA,108 min,"Horror Movies, International Movies","When her little sister claims she sees the dead, Alia consults a psychic, who opens her own eyes to the vengeful ghosts haunting their childhood home."
96,81002866,Movie,The Sinking Of Van Der Wijck,Sunil Soraya,"Herjunot Ali, Pevita Pearce, Reza Rahadian, Randy Nidji, Gesya Shandy, Kevin Andrean, Arzetti Bilbina",Indonesia,"September 28, 2018",2013,TV-14,163 min,"Dramas, International Movies, Romantic Movies","When a young man leaves home to fulfill the wishes of his late father, he meets and falls in love with a woman from a very different background."
97,80992039,Movie,Two Catalonias,"Álvaro Longoria, Gerardo Olivares",,Spain,"September 28, 2018",2018,TV-MA,117 min,"Documentaries, International Movies",Lawmakers and activists with conflicting ideologies speak about the complexities of Catalonia's politics and the fight for its independence from Spain.
98,80126507,Movie,Bobby Sands: 66 Days,Brendan Byrne,,"Ireland, United Kingdom","September 28, 2017",2016,TV-14,106 min,Documentaries,"In 1981, an imprisoned Irish Republican Army soldier went on a hunger strike that galvanized his movement and made him a controversial global icon."
